FINAL,NONE,b,p,m,f,d,t,n,l,g,k,h,j,q,x,zh,ch,sh,r,z,c,s
NONE,,,,,,,,,,,,,,,,zhi,chi,shi,ri,zi,ci,si
a,a,ba,pa,ma,fa,da,ta,na,la,ga,ka,ha,,,,zha,cha,sha,,za,ca,sa
o,o,,,,,,,,lo,,,,,,,,,,,,,
e,e,,,me,,de,te,ne,le,ge,ke,he,,,,zhe,che,she,re,ze,ce,se
ai,ai,bai,pai,mai,fai,dai,tai,nai,lai,gai,kai,hai,,,,zhai,chai,shai,,zai,cai,sai
ei,ei,bei,pei,mei,fei,dei,tei,nei,lei,gei,kei,hei,,,,zhei,,shei,,zei,cei,sei
ao,ao,bao,pao,mao,,dao,tao,nao,lao,gao,kao,hao,,,,zhao,chao,shao,rao,zao,cao,sao
ou,ou,,pou,mou,fou,dou,tou,nou,lou,gou,kou,hou,,,,zhou,chou,shou,rou,zou,cou,sou
an,an,ban,pan,man,fan,dan,tan,nan,lan,gan,kan,han,,,,zhan,chan,shan,ran,zan,can,san
en,en,ben,pen,men,fen,den,,nen,len,gen,ken,hen,,,,zhen,chen,shen,ren,zen,cen,sen
ang,ang,bang,pang,mang,fang,dang,tang,nang,lang,gang,kang,hang,,,,zhang,chang,shang,rang,zang,cang,sang
eng,eng,beng,peng,meng,feng,deng,teng,neng,leng,geng,keng,heng,,,,zheng,cheng,sheng,reng,zeng,ceng,seng
er,er,,,,,,,,,,,,,,,,,,,,,
i,yi*,bi,pi,mi,,di,ti,ni,li,,,,ji,qi,xi,,,,,,,
ia,ya,,pia,,,dia,,nia,lia,,,,jia,qia,xia,,,,,,,
io,yo,,,,,,,,,,,,,,,,,,,,,
ie,ye,bie,pie,mie,,die,tie,nie,lie,,,,jie,qie,xie,,,,,,,
iai,yai,,,,,,,,,,,,,,,,,,,,,
iao,yao,biao,piao,miao,fiao,diao,tiao,niao,liao,,,,jiao,qiao,xiao,,,,,,,
"iu (iou)",you*,,,miu,,diu,,niu,liu,,kiu,,jiu,qiu,xiu,,,,,,,
ian,yan,bian,pian,mian,,dian,tian,nian,lian,,,,jian,qian,xian,,,,,,,
"in (ien)",yin*,bin,pin,min,,din,,nin,lin,gin,,,jin,qin,xin,,,,,,,
iang,yang,biang,,,,diang,,niang,liang,,kiang,,jiang,qiang,xiang,,,,,,,
"ing (ieng)",ying*,bing,ping,ming,,ding,ting,ning,ling,ging,,,jing,qing,xing,,,,,,,
u,wu*,bu,pu,mu,fu,du,tu,nu,lu,gu,ku,hu,,,,zhu,chu,shu,ru,zu,cu,su
ua,wa,,,,,,,,,gua,kua,hua,,,,zhua,chua,shua,rua,,,
uo,wo,bo*,po*,mo*,fo*,duo,tuo,nuo,luo,guo,kuo,huo,,,,zhuo,chuo,shuo,ruo,zuo,cuo,suo
uai,wai,,,,,,,,,guai,kuai,huai,,,,zhuai,chuai,shuai,,,,
"ui (uei)",wei*,,,,,dui,tui,nui,,gui,kui,hui,,,,zhui,chui,shui,rui,zui,cui,sui
uan,wan,,,,,duan,tuan,nuan,luan,guan,kuan,huan,,,,zhuan,chuan,shuan,ruan,zuan,cuan,suan
"un (uen)",wen*,,pun,,,dun,tun,nun,lun,gun,kun,hun,,,,zhun,chun,shun,run,zun,cun,sun
uang,wang,,,,,duang,,,,guang,kuang,huang,,,,zhuang,chuang,shuang,,,,
"ong (ueng)",weng*,,,,,dong,tong,nong,long,gong,kong,hong,,,,zhong,chong,,rong,zong,cong,song
ü,yu*,,,,,,,nü,lü,,,,ju*,qu*,xu*,,,,,,,
"üe",yue*,,,,,,,nüe,lüe,,,,jue*,que*,xue*,,,,,,,
üan,yuan*,,,,,,,,lüan,,,,juan*,quan*,xuan*,,,,,,,
"ün (üen)",yun*,,,,,,,,lün,,,,jun*,qun*,xun*,,,,,,,
"iong (üeng)",yong,,,,,,,,,,,,jiong,qiong,xiong,,,,,,,
